text,latitude,longitude
We think every day should be filled with love. Come pick up some cute stuff at our shop or Union? https://t.co/aszWzHkvm7,43.65048,-79.41585
@LoftHairLounge #hairtattoo by  timothymeerman #redkencertifiedcolorist &amp; #fashionweekstylist? https://t.co/CqfWGWXcdw,43.64672,-79.40327
Morning mode w/ K (@ OFFSITE Concept Space) https://t.co/k0arc8jkEH,43.651329,-79.410649
#TBT Tennis in January with a retriever who doesn't retrieve and a honey who showed no mercy on? https://t.co/NCURabd4Rk,43.6478,-79.4142
"Good Morning Kyan!  So far this morning,  he's acting 100% his usual self, and it appears his? https://t.co/cG9HSiU5F4",43.64373,-79.42228
Stopped by bangbang_icecream for an ice cream sandwich?? #icecreamsandwich #cookies #icecream? https://t.co/upSTqdldxG,43.64622024,-79.41957469
THURSDAY OSSINGTON @ Misfitoss https://t.co/faOYWVpbsl,43.64611,-79.41973
THURSDAY QUEEN @ MISFITSTUDIO https://t.co/bCrNBPoxwy,43.64627,-79.4076
Just posted a photo @ Sud Forno https://t.co/gvcGSjQfjx,43.6462266,-79.40901709
when the specials are vvvv special. falafel doubledown happened tonight with the bread made of? https://t.co/tbklW5UrHb,43.64744576,-79.40402117
"Producer's meeting with @carysl, on lunch! When she can't get me via email or phone, she comes? https://t.co/0vMWsKXUhD",43.64557,-79.40267
"The set life with @EYHOSvetty at cherrycolastoronto with seanclarkmaclean
.
.
.
#burlesquedancer? https://t.co/9LX8snnrlc",43.6477999,-79.40447
